id,notes,bpm,uid,title,uploadedat,rating
1,"[{""start"":0,""end"":1,""pitch"":69},{""start"":1,""end"":2,""pitch"":69},{""start"":2,""end"":3,""pitch"":69},{""start"":3,""end"":4,""pitch"":67},{""start"":4,""end"":5,""pitch"":69},{""start"":5,""end"":5.5,""pitch"":69},{""start"":5.5,""end"":6,""pitch"":67},{""start"":6,""end"":7.5,""pitch"":64},{""start"":11,""end"":12,""pitch"":67},{""start"":12,""end"":13,""pitch"":69},{""start"":13,""end"":13.5,""pitch"":69},{""start"":13.5,""end"":14,""pitch"":67},{""start"":14,""end"":15.5,""pitch"":69},{""start"":8,""end"":9,""pitch"":69},{""start"":9,""end"":10,""pitch"":69},{""start"":10,""end"":11,""pitch"":69}]",120,1,Sample Opus 01,2018-10-28 0:00:00.000,
2,"[{""start"":0,""end"":1,""pitch"":67},{""start"":1,""end"":2,""pitch"":67},{""start"":2,""end"":3,""pitch"":64},{""start"":3,""end"":4,""pitch"":67},{""start"":4,""end"":5,""pitch"":69},{""start"":5,""end"":6,""pitch"":72},{""start"":6,""end"":7,""pitch"":67},{""start"":8,""end"":9,""pitch"":69},{""start"":9,""end"":10,""pitch"":69},{""start"":10,""end"":11,""pitch"":67},{""start"":11,""end"":12,""pitch"":64},{""start"":12,""end"":13,""pitch"":62},{""start"":13,""end"":14,""pitch"":64},{""start"":14,""end"":15,""pitch"":60}]",120,1,Sample Opus 02,2018-10-28 0:00:01.000,
3,"[{""start"":0,""end"":0.5,""pitch"":60},{""start"":0.5,""end"":1,""pitch"":62},{""start"":1,""end"":1.5,""pitch"":64},{""start"":1.5,""end"":2,""pitch"":67},{""start"":2,""end"":3,""pitch"":69},{""start"":3,""end"":4,""pitch"":72},{""start"":4,""end"":4.5,""pitch"":71},{""start"":4.5,""end"":5,""pitch"":72},{""start"":5,""end"":5.5,""pitch"":71},{""start"":5.5,""end"":6,""pitch"":67},{""start"":6,""end"":7.5,""pitch"":64},{""start"":8,""end"":8.5,""pitch"":69},{""start"":8.5,""end"":9,""pitch"":69},{""start"":9,""end"":9.5,""pitch"":67},{""start"":9.5,""end"":10,""pitch"":64},{""start"":10,""end"":11,""pitch"":62},{""start"":11,""end"":12,""pitch"":64},{""start"":12,""end"":12.5,""pitch"":69},{""start"":12.5,""end"":13,""pitch"":69},{""start"":14,""end"":15.5,""pitch"":69},{""start"":13,""end"":13.5,""pitch"":71},{""start"":13.5,""end"":14,""pitch"":67}]",120,1,Sample Opus 03,2018-10-28 0:00:02.000,
4,"[{""start"":0,""end"":1,""pitch"":69},{""start"":1,""end"":1.5,""pitch"":69},{""start"":1.5,""end"":2,""pitch"":67},{""start"":2,""end"":3,""pitch"":69},{""start"":3,""end"":4,""pitch"":72},{""start"":4,""end"":4.5,""pitch"":74},{""start"":4.5,""end"":5,""pitch"":76},{""start"":5,""end"":5.5,""pitch"":74},{""start"":5.5,""end"":6,""pitch"":72},{""start"":6,""end"":7.5,""pitch"":69},{""start"":8,""end"":9,""pitch"":67},{""start"":9,""end"":9.5,""pitch"":67},{""start"":9.5,""end"":10,""pitch"":69},{""start"":10,""end"":11,""pitch"":67},{""start"":11,""end"":11.5,""pitch"":64},{""start"":11.5,""end"":12,""pitch"":67},{""start"":12,""end"":12.5,""pitch"":69},{""start"":12.5,""end"":13,""pitch"":69},{""start"":13,""end"":13.5,""pitch"":69},{""start"":13.5,""end"":14,""pitch"":67},{""start"":14,""end"":15.5,""pitch"":69}]",142,1,Sample Opus 04,2018-10-28 0:00:03.000,
5,"[{""start"":0,""end"":1,""pitch"":64},{""start"":1,""end"":1.5,""pitch"":64},{""start"":1.5,""end"":2,""pitch"":66},{""start"":2,""end"":3,""pitch"":67},{""start"":3,""end"":3.5,""pitch"":67},{""start"":3.5,""end"":4,""pitch"":69},{""start"":4,""end"":5,""pitch"":71},{""start"":5,""end"":5.5,""pitch"":71},{""start"":5.5,""end"":6,""pitch"":74},{""start"":6,""end"":7.5,""pitch"":71},{""start"":8,""end"":9,""pitch"":69},{""start"":9,""end"":9.5,""pitch"":69},{""start"":9.5,""end"":10,""pitch"":67},{""start"":10,""end"":11.5,""pitch"":69},{""start"":11.5,""end"":12,""pitch"":62},{""start"":12,""end"":12.5,""pitch"":64},{""start"":12.5,""end"":13,""pitch"":67},{""start"":13,""end"":13.5,""pitch"":67},{""start"":13.5,""end"":14,""pitch"":69},{""start"":14,""end"":15.5,""pitch"":64}]",142,1,Sample Opus 05,2018-10-28 0:00:04.000,
6,"[{""start"":0,""end"":1,""pitch"":69},{""start"":1,""end"":2,""pitch"":69},{""start"":2,""end"":3,""pitch"":72},{""start"":3,""end"":4,""pitch"":69},{""start"":4,""end"":5,""pitch"":67},{""start"":5,""end"":6,""pitch"":67},{""start"":6,""end"":8,""pitch"":72},{""start"":8,""end"":9,""pitch"":65},{""start"":9,""end"":10,""pitch"":65},{""start"":10,""end"":11,""pitch"":64},{""start"":11,""end"":12,""pitch"":62},{""start"":12,""end"":15,""pitch"":60},{""start"":0,""end"":4,""pitch"":53},{""start"":4,""end"":8,""pitch"":52},{""start"":8,""end"":10,""pitch"":50},{""start"":10,""end"":12,""pitch"":55},{""start"":12,""end"":15,""pitch"":48}]",120,1,Sample Opus 06,2018-10-28 0:00:05.000,
7,"[{""start"":0,""end"":1,""pitch"":58},{""start"":0,""end"":1,""pitch"":62},{""start"":1,""end"":2,""pitch"":65},{""start"":2,""end"":3,""pitch"":60},{""start"":2,""end"":3,""pitch"":57},{""start"":3,""end"":4,""pitch"":65},{""start"":4,""end"":5,""pitch"":58},{""start"":4,""end"":5,""pitch"":55},{""start"":5,""end"":6,""pitch"":65},{""start"":6,""end"":6.5,""pitch"":57},{""start"":6.5,""end"":7,""pitch"":58},{""start"":7,""end"":8,""pitch"":60},{""start"":6,""end"":6.5,""pitch"":53},{""start"":6.5,""end"":7,""pitch"":55},{""start"":7,""end"":8,""pitch"":57},{""start"":8,""end"":9,""pitch"":58},{""start"":8,""end"":9,""pitch"":62},{""start"":9,""end"":10,""pitch"":65},{""start"":10,""end"":11,""pitch"":60},{""start"":10,""end"":11,""pitch"":57},{""start"":11,""end"":12,""pitch"":65},{""start"":12,""end"":12.5,""pitch"":64},{""start"":12.5,""end"":13,""pitch"":62},{""start"":13,""end"":13.5,""pitch"":64},{""start"":13.5,""end"":14,""pitch"":67},{""start"":14,""end"":15.5,""pitch"":65},{""start"":12,""end"":13,""pitch"":60},{""start"":13,""end"":14,""pitch"":58},{""start"":14,""end"":15.5,""pitch"":57}]",146,1,Sample Opus 07,2018-10-28 0:00:06.000,
8,"[{""start"":0,""end"":1,""pitch"":67},{""start"":1,""end"":1.5,""pitch"":69},{""start"":1.5,""end"":2,""pitch"":71},{""start"":2,""end"":3,""pitch"":74},{""start"":3,""end"":4,""pitch"":72},{""start"":4,""end"":5,""pitch"":71},{""start"":5,""end"":5.5,""pitch"":69},{""start"":5.5,""end"":6,""pitch"":67},{""start"":6,""end"":7.5,""pitch"":69},{""start"":8,""end"":8.5,""pitch"":64},{""start"":8.5,""end"":9,""pitch"":66},{""start"":9,""end"":9.5,""pitch"":67},{""start"":9.5,""end"":10,""pitch"":64},{""start"":10,""end"":11,""pitch"":62},{""start"":11,""end"":12,""pitch"":67},{""start"":12,""end"":13,""pitch"":71},{""start"":13,""end"":13.5,""pitch"":69},{""start"":13.5,""end"":14,""pitch"":69},{""start"":14,""end"":15.5,""pitch"":67},{""start"":0,""end"":2,""pitch"":64},{""start"":2,""end"":4,""pitch"":63},{""start"":4,""end"":6,""pitch"":62},{""start"":6,""end"":7.5,""pitch"":61},{""start"":8,""end"":10,""pitch"":60},{""start"":10,""end"":11,""pitch"":59},{""start"":11,""end"":12,""pitch"":52},{""start"":12,""end"":13,""pitch"":57},{""start"":13,""end"":14,""pitch"":62},{""start"":14,""end"":15.5,""pitch"":55}]",146,1,Sample Opus 08,2018-10-28 0:00:07.000,
9,"[{""start"":0,""end"":1,""pitch"":72},{""start"":1,""end"":1.5,""pitch"":67},{""start"":1.5,""end"":2,""pitch"":72},{""start"":2,""end"":3,""pitch"":74},{""start"":3,""end"":4,""pitch"":67},{""start"":4,""end"":4.5,""pitch"":75},{""start"":4.5,""end"":5,""pitch"":74},{""start"":5,""end"":5.5,""pitch"":75},{""start"":5.5,""end"":6,""pitch"":79},{""start"":6,""end"":8,""pitch"":77},{""start"":8,""end"":9,""pitch"":72},{""start"":9,""end"":9.5,""pitch"":74},{""start"":9.5,""end"":10,""pitch"":75},{""start"":10,""end"":11,""pitch"":74},{""start"":11,""end"":12,""pitch"":70},{""start"":12,""end"":12.5,""pitch"":65},{""start"":12.5,""end"":13,""pitch"":67},{""start"":13,""end"":13.5,""pitch"":63},{""start"":13.5,""end"":14,""pitch"":65},{""start"":14,""end"":15.5,""pitch"":67},{""start"":0,""end"":2,""pitch"":60},{""start"":2,""end"":4,""pitch"":59},{""start"":4,""end"":6,""pitch"":58},{""start"":6,""end"":8,""pitch"":57},{""start"":8,""end"":10,""pitch"":56},{""start"":10,""end"":12,""pitch"":58},{""start"":12,""end"":14,""pitch"":51},{""start"":14,""end"":16,""pitch"":55},{""start"":14,""end"":15,""pitch"":60},{""start"":15,""end"":16,""pitch"":59}]",118,1,Sample Opus 09,2018-10-28 0:00:08.000,
10,"[{""start"":0,""end"":0.5,""pitch"":53},{""start"":0.5,""end"":1,""pitch"":57},{""start"":1,""end"":1.5,""pitch"":60},{""start"":2,""end"":2.5,""pitch"":53},{""start"":2.5,""end"":3,""pitch"":58},{""start"":3,""end"":3.5,""pitch"":62},{""start"":4,""end"":4.5,""pitch"":53},{""start"":4.5,""end"":5,""pitch"":58},{""start"":5,""end"":5.5,""pitch"":61},{""start"":6,""end"":6.5,""pitch"":53},{""start"":6.5,""end"":7,""pitch"":57},{""start"":7,""end"":7.5,""pitch"":60},{""start"":0,""end"":1,""pitch"":69},{""start"":1,""end"":1.5,""pitch"":69},{""start"":1.5,""end"":2,""pitch"":72},{""start"":2,""end"":3.5,""pitch"":70},{""start"":3.5,""end"":4,""pitch"":69},{""start"":4,""end"":5,""pitch"":67},{""start"":5,""end"":5.5,""pitch"":67},{""start"":5.5,""end"":6,""pitch"":70},{""start"":6,""end"":7.5,""pitch"":69},{""start"":7.5,""end"":8,""pitch"":52},{""start"":8,""end"":8.5,""pitch"":50},{""start"":8.5,""end"":9,""pitch"":53},{""start"":9,""end"":9.5,""pitch"":57},{""start"":8,""end"":9,""pitch"":65},{""start"":9,""end"":9.5,""pitch"":65},{""start"":9.5,""end"":10,""pitch"":69},{""start"":10,""end"":11,""pitch"":76},{""start"":11,""end"":12,""pitch"":74},{""start"":10,""end"":10.5,""pitch"":55},{""start"":10.5,""end"":11,""pitch"":59},{""start"":11,""end"":11.5,""pitch"":65},{""start"":12.5,""end"":13,""pitch"":62},{""start"":13,""end"":13.5,""pitch"":64},{""start"":13.5,""end"":14,""pitch"":67},{""start"":14,""end"":15.5,""pitch"":65},{""start"":12,""end"":13,""pitch"":55},{""start"":13,""end"":14,""pitch"":48},{""start"":13,""end"":14,""pitch"":58},{""start"":14,""end"":15.5,""pitch"":53},{""start"":14,""end"":15.5,""pitch"":57},{""start"":12,""end"":12.5,""pitch"":70}]",93,1,Sample Opus 10,2018-10-28 0:00:09.000,
11,"[{""start"":0,""end"":0.5,""pitch"":39},{""start"":0.5,""end"":1,""pitch"":46},{""start"":1,""end"":1.5,""pitch"":51},{""start"":2,""end"":2.5,""pitch"":35},{""start"":2.5,""end"":3,""pitch"":42},{""start"":3,""end"":3.5,""pitch"":47},{""start"":4,""end"":4.5,""pitch"":37},{""start"":4.5,""end"":5,""pitch"":44},{""start"":5,""end"":5.5,""pitch"":49},{""start"":6,""end"":6.5,""pitch"":42},{""start"":6.5,""end"":7,""pitch"":49},{""start"":7,""end"":7.5,""pitch"":54},{""start"":4,""end"":4.5,""pitch"":65},{""start"":4.5,""end"":5,""pitch"":66},{""start"":5,""end"":5.5,""pitch"":65},{""start"":5.5,""end"":6,""pitch"":61},{""start"":0,""end"":1.5,""pitch"":66},{""start"":1.5,""end"":2,""pitch"":70},{""start"":2,""end"":3.5,""pitch"":63},{""start"":3.5,""end"":4,""pitch"":66},{""start"":8,""end"":8.5,""pitch"":39},{""start"":8.5,""end"":9,""pitch"":46},{""start"":9,""end"":9.5,""pitch"":51},{""start"":11,""end"":11.5,""pitch"":47},{""start"":10.5,""end"":11,""pitch"":42},{""start"":10,""end"":10.5,""pitch"":35},{""start"":12,""end"":12.5,""pitch"":37},{""start"":12.5,""end"":13,""pitch"":44},{""start"":13,""end"":13.5,""pitch"":49},{""start"":14,""end"":14.5,""pitch"":42},{""start"":14.5,""end"":15,""pitch"":49},{""start"":15,""end"":15.5,""pitch"":54},{""start"":6,""end"":8,""pitch"":58},{""start"":9.5,""end"":10,""pitch"":65},{""start"":12,""end"":12.5,""pitch"":68},{""start"":12.5,""end"":13,""pitch"":70},{""start"":13,""end"":13.5,""pitch"":73},{""start"":13.5,""end"":14,""pitch"":75},{""start"":14,""end"":16,""pitch"":70},{""start"":8,""end"":9.5,""pitch"":63},{""start"":10,""end"":11.5,""pitch"":66},{""start"":11.5,""end"":12,""pitch"":70}]",104,1,Sample Opus 11,2018-10-28 0:00:10.000,
12,"[{""start"":0,""end"":2,""pitch"":64},{""start"":0,""end"":2,""pitch"":71},{""start"":0,""end"":2,""pitch"":80},{""start"":2,""end"":3,""pitch"":76},{""start"":3,""end"":4,""pitch"":78},{""start"":4,""end"":6,""pitch"":80},{""start"":2,""end"":3,""pitch"":61},{""start"":3,""end"":4,""pitch"":63},{""start"":2,""end"":3,""pitch"":69},{""start"":3,""end"":4,""pitch"":71},{""start"":4,""end"":6,""pitch"":71},{""start"":4,""end"":6,""pitch"":64},{""start"":6,""end"":8,""pitch"":83},{""start"":6,""end"":8,""pitch"":76},{""start"":6,""end"":8,""pitch"":68},{""start"":8,""end"":10,""pitch"":73},{""start"":8,""end"":10,""pitch"":64},{""start"":8,""end"":10,""pitch"":57},{""start"":10,""end"":11,""pitch"":71},{""start"":11,""end"":12,""pitch"":69},{""start"":12,""end"":15,""pitch"":68},{""start"":10,""end"":11,""pitch"":64},{""start"":10,""end"":11,""pitch"":56},{""start"":11,""end"":12,""pitch"":64},{""start"":11,""end"":12,""pitch"":54},{""start"":12,""end"":15,""pitch"":59},{""start"":12,""end"":15,""pitch"":52}]",105,1,Sample Opus 12,2018-10-28 0:00:11.000,
